
Episode: 1, reward: -300.0
Episode: 2, reward: -300.0
Episode: 3, reward: -300.0
Episode: 4, reward: -300.0
Episode: 5, reward: -300.0
Episode: 6, reward: -300.0
Episode: 7, reward: -300.0
Episode: 8, reward: -300.0
Episode: 9, reward: -300.0
Episode: 10, reward: -300.0
Episode: 11, reward: -300.0
Episode: 12, reward: -201.0
Episode: 13, reward: -202.0
Episode: 14, reward: -184.0
Episode: 15, reward: -151.0
Episode: 16, reward: -300.0
Episode: 17, reward: -300.0
Episode: 18, reward: -194.0
Episode: 19, reward: -300.0
Episode: 20, reward: -247.0
Episode: 21, reward: -197.0
Episode: 22, reward: -123.0
Episode: 23, reward: -142.0
Episode: 24, reward: -300.0
Episode: 25, reward: -300.0
Episode: 26, reward: -300.0
Episode: 27, reward: -300.0
Episode: 28, reward: -113.0
Episode: 29, reward: -154.0
Episode: 30, reward: -182.0
Episode: 31, reward: -151.0
Episode: 32, reward: -151.0
Episode: 33, reward: -116.0
Episode: 34, reward: -153.0
Episode: 35, reward: -177.0
Episode: 36, reward: -155.0
Episode: 37, reward: -124.0
Episode: 38, reward: -104.0
Episode: 39, reward: -128.0
Episode: 40, reward: -153.0
[Episode #41]
Background Trial: 1, reward: -116.0
Background Trial: 2, reward: -109.0
Background Trial: 3, reward: -120.0
Background Trial: 4, reward: -153.0
Background Trial: 5, reward: -196.0
Background Trial: 6, reward: -122.0
Background Trial: 7, reward: -116.0
Background Trial: 8, reward: -110.0
Background Trial: 9, reward: -120.0
Background Trial: 10, reward: -112.0
Episode: 41, reward: -93.0
[Episode #42]
Background Trial: 1, reward: -111.0
Background Trial: 2, reward: -110.0
Background Trial: 3, reward: -113.0
Background Trial: 4, reward: -110.0
Background Trial: 5, reward: -113.0
Background Trial: 6, reward: -115.0
Background Trial: 7, reward: -123.0
Background Trial: 8, reward: -113.0
Background Trial: 9, reward: -154.0
Background Trial: 10, reward: -155.0
Episode: 42, reward: -112.0
[Episode #43]
Background Trial: 1, reward: -155.0
Background Trial: 2, reward: -195.0
Background Trial: 3, reward: -201.0
Background Trial: 4, reward: -113.0
Background Trial: 5, reward: -114.0
Background Trial: 6, reward: -115.0
Background Trial: 7, reward: -111.0
Background Trial: 8, reward: -115.0
Background Trial: 9, reward: -201.0
Background Trial: 10, reward: -118.0
Episode: 43, reward: -118.0
[Episode #44]
Background Trial: 1, reward: -113.0
Background Trial: 2, reward: -153.0
Background Trial: 3, reward: -113.0
Background Trial: 4, reward: -122.0
Background Trial: 5, reward: -192.0
Background Trial: 6, reward: -115.0
Background Trial: 7, reward: -155.0
Background Trial: 8, reward: -113.0
Background Trial: 9, reward: -91.0
Background Trial: 10, reward: -113.0
Episode: 44, reward: -196.0
[Episode #45]
Background Trial: 1, reward: -110.0
Background Trial: 2, reward: -91.0
Background Trial: 3, reward: -197.0
Background Trial: 4, reward: -155.0
Background Trial: 5, reward: -113.0
Background Trial: 6, reward: -155.0
Background Trial: 7, reward: -116.0
Background Trial: 8, reward: -198.0
Background Trial: 9, reward: -153.0
Background Trial: 10, reward: -111.0
Episode: 45, reward: -114.0
[Episode #46]
Background Trial: 1, reward: -201.0
Background Trial: 2, reward: -126.0
Background Trial: 3, reward: -121.0
Background Trial: 4, reward: -157.0
Background Trial: 5, reward: -113.0
Background Trial: 6, reward: -123.0
Background Trial: 7, reward: -123.0
Background Trial: 8, reward: -199.0
Background Trial: 9, reward: -116.0
Background Trial: 10, reward: -109.0
Episode: 46, reward: -92.0
[Episode #47]
Background Trial: 1, reward: -113.0
Background Trial: 2, reward: -156.0
Background Trial: 3, reward: -91.0
Background Trial: 4, reward: -115.0
Background Trial: 5, reward: -123.0
Background Trial: 6, reward: -115.0
Background Trial: 7, reward: -114.0
Background Trial: 8, reward: -122.0
Background Trial: 9, reward: -113.0
Background Trial: 10, reward: -153.0
Episode: 47, reward: -113.0
[Episode #48]
Background Trial: 1, reward: -152.0
Background Trial: 2, reward: -153.0
Background Trial: 3, reward: -101.0
Background Trial: 4, reward: -197.0
Background Trial: 5, reward: -116.0
Background Trial: 6, reward: -110.0
Background Trial: 7, reward: -122.0
Background Trial: 8, reward: -197.0
Background Trial: 9, reward: -122.0
Background Trial: 10, reward: -113.0
Episode: 48, reward: -103.0
[Episode #49]
Background Trial: 1, reward: -113.0
Background Trial: 2, reward: -152.0
Background Trial: 3, reward: -103.0
Background Trial: 4, reward: -100.0
Background Trial: 5, reward: -115.0
Background Trial: 6, reward: -192.0
Background Trial: 7, reward: -152.0
Background Trial: 8, reward: -154.0
Background Trial: 9, reward: -115.0
Background Trial: 10, reward: -116.0
Episode: 49, reward: -152.0
[Episode #50]
Background Trial: 1, reward: -115.0
Background Trial: 2, reward: -112.0
Background Trial: 3, reward: -113.0
Background Trial: 4, reward: -155.0
Background Trial: 5, reward: -152.0
Background Trial: 6, reward: -198.0
Background Trial: 7, reward: -99.0
Background Trial: 8, reward: -110.0
Background Trial: 9, reward: -152.0
Background Trial: 10, reward: -122.0
