
Episode: 1, reward: -200.0
Episode: 2, reward: -200.0
Episode: 3, reward: -200.0
Episode: 4, reward: -200.0
Episode: 5, reward: -200.0
Episode: 6, reward: -200.0
Episode: 7, reward: -200.0
Episode: 8, reward: -200.0
Episode: 9, reward: -200.0
Episode: 10, reward: -200.0
Episode: 11, reward: -200.0
Episode: 12, reward: -200.0
Episode: 13, reward: -200.0
Episode: 14, reward: -200.0
Episode: 15, reward: -200.0
Episode: 16, reward: -200.0
Episode: 17, reward: -200.0
Episode: 18, reward: -200.0
Episode: 19, reward: -141.0
Episode: 20, reward: -171.0
Episode: 21, reward: -200.0
Episode: 22, reward: -200.0
Episode: 23, reward: -186.0
Episode: 24, reward: -164.0
Episode: 25, reward: -120.0
Episode: 26, reward: -200.0
Episode: 27, reward: -143.0
Episode: 28, reward: -149.0
Episode: 29, reward: -152.0
Episode: 30, reward: -150.0
Episode: 31, reward: -103.0
Episode: 32, reward: -108.0
Episode: 33, reward: -106.0
Episode: 34, reward: -106.0
Episode: 35, reward: -105.0
Episode: 36, reward: -110.0
Episode: 37, reward: -106.0
Episode: 38, reward: -150.0
Episode: 39, reward: -150.0
Episode: 40, reward: -152.0
[Episode #41]
Background Trial: 1, reward: -106.0
Background Trial: 2, reward: -106.0
Background Trial: 3, reward: -107.0
Background Trial: 4, reward: -151.0
Background Trial: 5, reward: -151.0
Background Trial: 6, reward: -107.0
Background Trial: 7, reward: -151.0
Background Trial: 8, reward: -109.0
Background Trial: 9, reward: -150.0
Background Trial: 10, reward: -151.0
Episode: 41, reward: -109.0
[Episode #42]
Background Trial: 1, reward: -106.0
Background Trial: 2, reward: -83.0
Background Trial: 3, reward: -105.0
Background Trial: 4, reward: -151.0
Background Trial: 5, reward: -112.0
Background Trial: 6, reward: -107.0
Background Trial: 7, reward: -107.0
Background Trial: 8, reward: -151.0
Background Trial: 9, reward: -104.0
Background Trial: 10, reward: -111.0
Episode: 42, reward: -108.0
[Episode #43]
Background Trial: 1, reward: -151.0
Background Trial: 2, reward: -111.0
Background Trial: 3, reward: -151.0
Background Trial: 4, reward: -153.0
Background Trial: 5, reward: -109.0
Background Trial: 6, reward: -89.0
Background Trial: 7, reward: -151.0
Background Trial: 8, reward: -85.0
Background Trial: 9, reward: -149.0
Background Trial: 10, reward: -84.0
Episode: 43, reward: -85.0
[Episode #44]
Background Trial: 1, reward: -149.0
Background Trial: 2, reward: -149.0
Background Trial: 3, reward: -109.0
Background Trial: 4, reward: -106.0
Background Trial: 5, reward: -85.0
Background Trial: 6, reward: -167.0
Background Trial: 7, reward: -149.0
Background Trial: 8, reward: -109.0
Background Trial: 9, reward: -106.0
Background Trial: 10, reward: -172.0
Episode: 44, reward: -149.0
[Episode #45]
Background Trial: 1, reward: -104.0
Background Trial: 2, reward: -85.0
Background Trial: 3, reward: -108.0
Background Trial: 4, reward: -148.0
Background Trial: 5, reward: -147.0
Background Trial: 6, reward: -148.0
Background Trial: 7, reward: -106.0
Background Trial: 8, reward: -86.0
Background Trial: 9, reward: -111.0
Background Trial: 10, reward: -147.0
Episode: 45, reward: -106.0
[Episode #46]
Background Trial: 1, reward: -83.0
Background Trial: 2, reward: -107.0
Background Trial: 3, reward: -105.0
Background Trial: 4, reward: -105.0
Background Trial: 5, reward: -107.0
Background Trial: 6, reward: -85.0
Background Trial: 7, reward: -83.0
Background Trial: 8, reward: -151.0
Background Trial: 9, reward: -151.0
Background Trial: 10, reward: -85.0
Episode: 46, reward: -147.0
[Episode #47]
Background Trial: 1, reward: -111.0
Background Trial: 2, reward: -111.0
Background Trial: 3, reward: -89.0
Background Trial: 4, reward: -149.0
Background Trial: 5, reward: -87.0
Background Trial: 6, reward: -104.0
Background Trial: 7, reward: -104.0
Background Trial: 8, reward: -85.0
Background Trial: 9, reward: -104.0
Background Trial: 10, reward: -148.0
Episode: 47, reward: -149.0
[Episode #48]
Background Trial: 1, reward: -151.0
Background Trial: 2, reward: -148.0
Background Trial: 3, reward: -85.0
Background Trial: 4, reward: -84.0
Background Trial: 5, reward: -171.0
Background Trial: 6, reward: -86.0
Background Trial: 7, reward: -108.0
Background Trial: 8, reward: -107.0
Background Trial: 9, reward: -84.0
Background Trial: 10, reward: -169.0
Episode: 48, reward: -149.0
[Episode #49]
Background Trial: 1, reward: -147.0
Background Trial: 2, reward: -107.0
Background Trial: 3, reward: -90.0
Background Trial: 4, reward: -111.0
Background Trial: 5, reward: -151.0
Background Trial: 6, reward: -111.0
Background Trial: 7, reward: -89.0
Background Trial: 8, reward: -152.0
Background Trial: 9, reward: -148.0
Background Trial: 10, reward: -151.0
Episode: 49, reward: -153.0
[Episode #50]
Background Trial: 1, reward: -108.0
Background Trial: 2, reward: -107.0
Background Trial: 3, reward: -84.0
Background Trial: 4, reward: -149.0
Background Trial: 5, reward: -149.0
Background Trial: 6, reward: -85.0
Background Trial: 7, reward: -86.0
Background Trial: 8, reward: -107.0
Background Trial: 9, reward: -149.0
Background Trial: 10, reward: -88.0
