
Background Trial: 1, reward: -107.0
Background Trial: 2, reward: -105.0
Background Trial: 3, reward: -91.0
Background Trial: 4, reward: -85.0
Background Trial: 5, reward: -92.0
Background Trial: 6, reward: -138.0
Background Trial: 7, reward: -154.0
Background Trial: 8, reward: -86.0
Background Trial: 9, reward: -107.0
Background Trial: 10, reward: -94.0
Episode: 47, reward: -138.0
[Episode #48]
Background Trial: 1, reward: -90.0
Background Trial: 2, reward: -161.0
Background Trial: 3, reward: -106.0
Background Trial: 4, reward: -153.0
Background Trial: 5, reward: -157.0
Background Trial: 6, reward: -107.0
Background Trial: 7, reward: -86.0
Background Trial: 8, reward: -139.0
Background Trial: 9, reward: -104.0
Background Trial: 10, reward: -157.0
Episode: 48, reward: -87.0
[Episode #49]
Background Trial: 1, reward: -185.0
Background Trial: 2, reward: -88.0
Background Trial: 3, reward: -86.0
Background Trial: 4, reward: -180.0
Background Trial: 5, reward: -87.0
Background Trial: 6, reward: -165.0
Background Trial: 7, reward: -138.0
Background Trial: 8, reward: -138.0
Background Trial: 9, reward: -107.0
Background Trial: 10, reward: -108.0
Episode: 49, reward: -161.0
[Episode #50]
Background Trial: 1, reward: -138.0
Background Trial: 2, reward: -106.0
Background Trial: 3, reward: -160.0
Background Trial: 4, reward: -90.0
Background Trial: 5, reward: -93.0
Background Trial: 6, reward: -138.0
Background Trial: 7, reward: -105.0
Background Trial: 8, reward: -109.0
Background Trial: 9, reward: -106.0
Background Trial: 10, reward: -105.0
