
Background Trial: 1, reward: -164.0
Background Trial: 2, reward: -165.0
Background Trial: 3, reward: -167.0
Background Trial: 4, reward: -163.0
Background Trial: 5, reward: -127.0
Background Trial: 6, reward: -120.0
Background Trial: 7, reward: -122.0
Background Trial: 8, reward: -121.0
Background Trial: 9, reward: -169.0
Background Trial: 10, reward: -175.0
Episode: 47, reward: -161.0
[Episode #48]
Background Trial: 1, reward: -130.0
Background Trial: 2, reward: -124.0
Background Trial: 3, reward: -162.0
Background Trial: 4, reward: -167.0
Background Trial: 5, reward: -181.0
Background Trial: 6, reward: -123.0
Background Trial: 7, reward: -125.0
Background Trial: 8, reward: -175.0
Background Trial: 9, reward: -169.0
Background Trial: 10, reward: -122.0
Episode: 48, reward: -200.0
[Episode #49]
Background Trial: 1, reward: -162.0
Background Trial: 2, reward: -124.0
Background Trial: 3, reward: -165.0
Background Trial: 4, reward: -162.0
Background Trial: 5, reward: -128.0
Background Trial: 6, reward: -121.0
Background Trial: 7, reward: -127.0
Background Trial: 8, reward: -171.0
Background Trial: 9, reward: -125.0
Background Trial: 10, reward: -162.0
Episode: 49, reward: -171.0
[Episode #50]
Background Trial: 1, reward: -122.0
Background Trial: 2, reward: -200.0
Background Trial: 3, reward: -168.0
Background Trial: 4, reward: -123.0
Background Trial: 5, reward: -124.0
Background Trial: 6, reward: -200.0
Background Trial: 7, reward: -164.0
Background Trial: 8, reward: -123.0
Background Trial: 9, reward: -123.0
Background Trial: 10, reward: -176.0
