
Episode: 1, reward: -200.0
Episode: 2, reward: -200.0
Episode: 3, reward: -138.0
Episode: 4, reward: -114.0
Episode: 5, reward: -164.0
Episode: 6, reward: -168.0
Episode: 7, reward: -181.0
Episode: 8, reward: -200.0
Episode: 9, reward: -116.0
Episode: 10, reward: -142.0
Episode: 11, reward: -130.0
Episode: 12, reward: -172.0
Episode: 13, reward: -200.0
Episode: 14, reward: -113.0
Episode: 15, reward: -138.0
Episode: 16, reward: -138.0
Episode: 17, reward: -147.0
Episode: 18, reward: -200.0
Episode: 19, reward: -150.0
Episode: 20, reward: -144.0
Episode: 21, reward: -200.0
Episode: 22, reward: -157.0
Episode: 23, reward: -139.0
Episode: 24, reward: -200.0
Episode: 25, reward: -142.0
Episode: 26, reward: -148.0
Episode: 27, reward: -139.0
Episode: 28, reward: -143.0
Episode: 29, reward: -143.0
Episode: 30, reward: -143.0
Episode: 31, reward: -141.0
Episode: 32, reward: -151.0
Episode: 33, reward: -143.0
Episode: 34, reward: -142.0
Episode: 35, reward: -142.0
Episode: 36, reward: -148.0
Episode: 37, reward: -141.0
Episode: 38, reward: -150.0
Episode: 39, reward: -150.0
Episode: 40, reward: -147.0
[Episode #41]
Background Trial: 1, reward: -149.0
Background Trial: 2, reward: -150.0
Background Trial: 3, reward: -143.0
Background Trial: 4, reward: -143.0
Background Trial: 5, reward: -141.0
Background Trial: 6, reward: -148.0
Background Trial: 7, reward: -142.0
Background Trial: 8, reward: -141.0
Background Trial: 9, reward: -142.0
Background Trial: 10, reward: -143.0
Episode: 41, reward: -147.0
[Episode #42]
Background Trial: 1, reward: -140.0
Background Trial: 2, reward: -141.0
Background Trial: 3, reward: -152.0
Background Trial: 4, reward: -148.0
Background Trial: 5, reward: -141.0
Background Trial: 6, reward: -141.0
Background Trial: 7, reward: -150.0
Background Trial: 8, reward: -144.0
Background Trial: 9, reward: -148.0
Background Trial: 10, reward: -143.0
Episode: 42, reward: -148.0
[Episode #43]
Background Trial: 1, reward: -140.0
Background Trial: 2, reward: -150.0
Background Trial: 3, reward: -143.0
Background Trial: 4, reward: -140.0
Background Trial: 5, reward: -150.0
Background Trial: 6, reward: -143.0
Background Trial: 7, reward: -143.0
Background Trial: 8, reward: -142.0
Background Trial: 9, reward: -143.0
Background Trial: 10, reward: -141.0
Episode: 43, reward: -141.0
[Episode #44]
Background Trial: 1, reward: -150.0
Background Trial: 2, reward: -150.0
Background Trial: 3, reward: -142.0
Background Trial: 4, reward: -143.0
Background Trial: 5, reward: -150.0
Background Trial: 6, reward: -147.0
Background Trial: 7, reward: -151.0
Background Trial: 8, reward: -143.0
Background Trial: 9, reward: -143.0
Background Trial: 10, reward: -149.0
Episode: 44, reward: -148.0
[Episode #45]
Background Trial: 1, reward: -142.0
Background Trial: 2, reward: -148.0
Background Trial: 3, reward: -150.0
Background Trial: 4, reward: -149.0
Background Trial: 5, reward: -140.0
Background Trial: 6, reward: -143.0
Background Trial: 7, reward: -142.0
Background Trial: 8, reward: -151.0
Background Trial: 9, reward: -148.0
Background Trial: 10, reward: -140.0
Episode: 45, reward: -142.0
[Episode #46]
Background Trial: 1, reward: -143.0
Background Trial: 2, reward: -143.0
Background Trial: 3, reward: -142.0
Background Trial: 4, reward: -141.0
Background Trial: 5, reward: -148.0
Background Trial: 6, reward: -141.0
Background Trial: 7, reward: -144.0
Background Trial: 8, reward: -143.0
Background Trial: 9, reward: -140.0
Background Trial: 10, reward: -141.0
Episode: 46, reward: -151.0
[Episode #47]
Background Trial: 1, reward: -147.0
Background Trial: 2, reward: -149.0
Background Trial: 3, reward: -149.0
Background Trial: 4, reward: -148.0
Background Trial: 5, reward: -150.0
Background Trial: 6, reward: -148.0
Background Trial: 7, reward: -150.0
Background Trial: 8, reward: -143.0
Background Trial: 9, reward: -143.0
Background Trial: 10, reward: -142.0
Episode: 47, reward: -148.0
[Episode #48]
Background Trial: 1, reward: -143.0
Background Trial: 2, reward: -147.0
Background Trial: 3, reward: -151.0
Background Trial: 4, reward: -150.0
Background Trial: 5, reward: -143.0
Background Trial: 6, reward: -150.0
Background Trial: 7, reward: -150.0
Background Trial: 8, reward: -151.0
Background Trial: 9, reward: -150.0
Background Trial: 10, reward: -150.0
Episode: 48, reward: -141.0
[Episode #49]
Background Trial: 1, reward: -141.0
Background Trial: 2, reward: -141.0
Background Trial: 3, reward: -142.0
Background Trial: 4, reward: -150.0
Background Trial: 5, reward: -152.0
Background Trial: 6, reward: -141.0
Background Trial: 7, reward: -142.0
Background Trial: 8, reward: -143.0
Background Trial: 9, reward: -151.0
Background Trial: 10, reward: -141.0
Episode: 49, reward: -150.0
[Episode #50]
Background Trial: 1, reward: -143.0
Background Trial: 2, reward: -140.0
Background Trial: 3, reward: -147.0
Background Trial: 4, reward: -148.0
Background Trial: 5, reward: -143.0
Background Trial: 6, reward: -152.0
Background Trial: 7, reward: -142.0
Background Trial: 8, reward: -149.0
Background Trial: 9, reward: -150.0
Background Trial: 10, reward: -142.0
