
Episode: 1, reward: -200.0
Episode: 2, reward: -200.0
Episode: 3, reward: -200.0
Episode: 4, reward: -200.0
Episode: 5, reward: -200.0
Episode: 6, reward: -200.0
Episode: 7, reward: -200.0
Episode: 8, reward: -200.0
Episode: 9, reward: -200.0
Episode: 10, reward: -200.0
Episode: 11, reward: -200.0
Episode: 12, reward: -200.0
Episode: 13, reward: -200.0
Episode: 14, reward: -200.0
Episode: 15, reward: -200.0
Episode: 16, reward: -200.0
Episode: 17, reward: -200.0
Episode: 18, reward: -184.0
Episode: 19, reward: -200.0
Episode: 20, reward: -200.0
Episode: 21, reward: -200.0
Episode: 22, reward: -200.0
Episode: 23, reward: -200.0
Episode: 24, reward: -200.0
Episode: 25, reward: -124.0
Episode: 26, reward: -200.0
Episode: 27, reward: -200.0
Episode: 28, reward: -200.0
Episode: 29, reward: -117.0
Episode: 30, reward: -116.0
Episode: 31, reward: -118.0
Episode: 32, reward: -117.0
Episode: 33, reward: -118.0
Episode: 34, reward: -118.0
Episode: 35, reward: -117.0
Episode: 36, reward: -118.0
Episode: 37, reward: -117.0
Episode: 38, reward: -117.0
Episode: 39, reward: -118.0
Episode: 40, reward: -119.0
[Episode #41]
Background Trial: 1, reward: -117.0
Background Trial: 2, reward: -117.0
Background Trial: 3, reward: -117.0
Background Trial: 4, reward: -117.0
Background Trial: 5, reward: -117.0
Background Trial: 6, reward: -117.0
Background Trial: 7, reward: -117.0
Background Trial: 8, reward: -117.0
Background Trial: 9, reward: -117.0
Background Trial: 10, reward: -117.0
Episode: 41, reward: -117.0
[Episode #42]
Background Trial: 1, reward: -118.0
Background Trial: 2, reward: -118.0
Background Trial: 3, reward: -118.0
Background Trial: 4, reward: -118.0
Background Trial: 5, reward: -118.0
Background Trial: 6, reward: -118.0
Background Trial: 7, reward: -118.0
Background Trial: 8, reward: -118.0
Background Trial: 9, reward: -118.0
Background Trial: 10, reward: -118.0
Episode: 42, reward: -117.0
[Episode #43]
Background Trial: 1, reward: -117.0
Background Trial: 2, reward: -117.0
Background Trial: 3, reward: -117.0
Background Trial: 4, reward: -117.0
Background Trial: 5, reward: -117.0
Background Trial: 6, reward: -117.0
Background Trial: 7, reward: -117.0
Background Trial: 8, reward: -117.0
Background Trial: 9, reward: -117.0
Background Trial: 10, reward: -117.0
Episode: 43, reward: -118.0
[Episode #44]
Background Trial: 1, reward: -118.0
Background Trial: 2, reward: -118.0
Background Trial: 3, reward: -118.0
Background Trial: 4, reward: -118.0
Background Trial: 5, reward: -118.0
Background Trial: 6, reward: -118.0
Background Trial: 7, reward: -118.0
Background Trial: 8, reward: -118.0
Background Trial: 9, reward: -118.0
Background Trial: 10, reward: -118.0
Episode: 44, reward: -118.0
[Episode #45]
Background Trial: 1, reward: -118.0
Background Trial: 2, reward: -118.0
Background Trial: 3, reward: -118.0
Background Trial: 4, reward: -118.0
Background Trial: 5, reward: -118.0
Background Trial: 6, reward: -118.0
Background Trial: 7, reward: -118.0
Background Trial: 8, reward: -118.0
Background Trial: 9, reward: -118.0
Background Trial: 10, reward: -118.0
Episode: 45, reward: -118.0
[Episode #46]
Background Trial: 1, reward: -116.0
Background Trial: 2, reward: -116.0
Background Trial: 3, reward: -116.0
Background Trial: 4, reward: -116.0
Background Trial: 5, reward: -116.0
Background Trial: 6, reward: -116.0
Background Trial: 7, reward: -116.0
Background Trial: 8, reward: -116.0
Background Trial: 9, reward: -116.0
Background Trial: 10, reward: -116.0
Episode: 46, reward: -116.0
[Episode #47]
Background Trial: 1, reward: -117.0
Background Trial: 2, reward: -117.0
Background Trial: 3, reward: -117.0
Background Trial: 4, reward: -117.0
Background Trial: 5, reward: -117.0
Background Trial: 6, reward: -117.0
Background Trial: 7, reward: -117.0
Background Trial: 8, reward: -117.0
Background Trial: 9, reward: -117.0
Background Trial: 10, reward: -117.0
Episode: 47, reward: -119.0
[Episode #48]
Background Trial: 1, reward: -116.0
Background Trial: 2, reward: -116.0
Background Trial: 3, reward: -116.0
Background Trial: 4, reward: -116.0
Background Trial: 5, reward: -116.0
Background Trial: 6, reward: -116.0
Background Trial: 7, reward: -116.0
Background Trial: 8, reward: -116.0
Background Trial: 9, reward: -116.0
Background Trial: 10, reward: -116.0
Episode: 48, reward: -116.0
[Episode #49]
Background Trial: 1, reward: -117.0
Background Trial: 2, reward: -117.0
Background Trial: 3, reward: -117.0
Background Trial: 4, reward: -117.0
Background Trial: 5, reward: -117.0
Background Trial: 6, reward: -117.0
Background Trial: 7, reward: -117.0
Background Trial: 8, reward: -117.0
Background Trial: 9, reward: -117.0
Background Trial: 10, reward: -117.0
Episode: 49, reward: -117.0
[Episode #50]
Background Trial: 1, reward: -118.0
Background Trial: 2, reward: -118.0
Background Trial: 3, reward: -118.0
Background Trial: 4, reward: -118.0
Background Trial: 5, reward: -118.0
Background Trial: 6, reward: -118.0
Background Trial: 7, reward: -118.0
Background Trial: 8, reward: -118.0
Background Trial: 9, reward: -118.0
Background Trial: 10, reward: -118.0
