
Episode: 1, reward: -200.0
Episode: 2, reward: -200.0
Episode: 3, reward: -200.0
Episode: 4, reward: -200.0
Episode: 5, reward: -200.0
Episode: 6, reward: -200.0
Episode: 7, reward: -200.0
Episode: 8, reward: -105.0
Episode: 9, reward: -113.0
Episode: 10, reward: -186.0
Episode: 11, reward: -109.0
Episode: 12, reward: -127.0
Episode: 13, reward: -149.0
Episode: 14, reward: -155.0
Episode: 15, reward: -147.0
Episode: 16, reward: -103.0
Episode: 17, reward: -200.0
Episode: 18, reward: -111.0
Episode: 19, reward: -200.0
Episode: 20, reward: -136.0
Episode: 21, reward: -200.0
Episode: 22, reward: -200.0
Episode: 23, reward: -103.0
Episode: 24, reward: -169.0
Episode: 25, reward: -160.0
Episode: 26, reward: -200.0
Episode: 27, reward: -109.0
Episode: 28, reward: -200.0
Episode: 29, reward: -110.0
Episode: 30, reward: -158.0
Episode: 31, reward: -119.0
Episode: 32, reward: -154.0
Episode: 33, reward: -182.0
Episode: 34, reward: -155.0
Episode: 35, reward: -154.0
Episode: 36, reward: -108.0
Episode: 37, reward: -109.0
Episode: 38, reward: -151.0
Episode: 39, reward: -108.0
Episode: 40, reward: -153.0
[Episode #41]
Background Trial: 1, reward: -138.0
Background Trial: 2, reward: -111.0
Background Trial: 3, reward: -154.0
Background Trial: 4, reward: -182.0
Background Trial: 5, reward: -196.0
Background Trial: 6, reward: -154.0
Background Trial: 7, reward: -138.0
Background Trial: 8, reward: -153.0
Background Trial: 9, reward: -113.0
Background Trial: 10, reward: -109.0
Episode: 41, reward: -156.0
[Episode #42]
Background Trial: 1, reward: -119.0
Background Trial: 2, reward: -125.0
Background Trial: 3, reward: -154.0
Background Trial: 4, reward: -138.0
Background Trial: 5, reward: -125.0
Background Trial: 6, reward: -187.0
Background Trial: 7, reward: -154.0
Background Trial: 8, reward: -112.0
Background Trial: 9, reward: -139.0
Background Trial: 10, reward: -182.0
Episode: 42, reward: -125.0
[Episode #43]
Background Trial: 1, reward: -153.0
Background Trial: 2, reward: -121.0
Background Trial: 3, reward: -109.0
Background Trial: 4, reward: -110.0
Background Trial: 5, reward: -187.0
Background Trial: 6, reward: -147.0
Background Trial: 7, reward: -153.0
Background Trial: 8, reward: -157.0
Background Trial: 9, reward: -137.0
Background Trial: 10, reward: -187.0
Episode: 43, reward: -112.0
[Episode #44]
Background Trial: 1, reward: -110.0
Background Trial: 2, reward: -109.0
Background Trial: 3, reward: -108.0
Background Trial: 4, reward: -119.0
Background Trial: 5, reward: -182.0
Background Trial: 6, reward: -138.0
Background Trial: 7, reward: -155.0
Background Trial: 8, reward: -110.0
Background Trial: 9, reward: -113.0
Background Trial: 10, reward: -144.0
Episode: 44, reward: -110.0
[Episode #45]
Background Trial: 1, reward: -151.0
Background Trial: 2, reward: -112.0
Background Trial: 3, reward: -154.0
Background Trial: 4, reward: -154.0
Background Trial: 5, reward: -154.0
Background Trial: 6, reward: -153.0
Background Trial: 7, reward: -144.0
Background Trial: 8, reward: -153.0
Background Trial: 9, reward: -154.0
Background Trial: 10, reward: -108.0
Episode: 45, reward: -154.0
[Episode #46]
Background Trial: 1, reward: -154.0
Background Trial: 2, reward: -139.0
Background Trial: 3, reward: -153.0
Background Trial: 4, reward: -151.0
Background Trial: 5, reward: -154.0
Background Trial: 6, reward: -110.0
Background Trial: 7, reward: -154.0
Background Trial: 8, reward: -151.0
Background Trial: 9, reward: -153.0
Background Trial: 10, reward: -119.0
Episode: 46, reward: -148.0
[Episode #47]
Background Trial: 1, reward: -121.0
Background Trial: 2, reward: -153.0
Background Trial: 3, reward: -155.0
Background Trial: 4, reward: -195.0
Background Trial: 5, reward: -110.0
Background Trial: 6, reward: -115.0
Background Trial: 7, reward: -139.0
Background Trial: 8, reward: -139.0
Background Trial: 9, reward: -147.0
Background Trial: 10, reward: -196.0
Episode: 47, reward: -139.0
[Episode #48]
Background Trial: 1, reward: -146.0
Background Trial: 2, reward: -182.0
Background Trial: 3, reward: -109.0
Background Trial: 4, reward: -137.0
Background Trial: 5, reward: -149.0
Background Trial: 6, reward: -154.0
Background Trial: 7, reward: -154.0
Background Trial: 8, reward: -138.0
Background Trial: 9, reward: -154.0
Background Trial: 10, reward: -112.0
Episode: 48, reward: -144.0
[Episode #49]
Background Trial: 1, reward: -153.0
Background Trial: 2, reward: -146.0
Background Trial: 3, reward: -108.0
Background Trial: 4, reward: -147.0
Background Trial: 5, reward: -152.0
Background Trial: 6, reward: -182.0
Background Trial: 7, reward: -151.0
Background Trial: 8, reward: -109.0
Background Trial: 9, reward: -121.0
Background Trial: 10, reward: -153.0
Episode: 49, reward: -124.0
[Episode #50]
Background Trial: 1, reward: -151.0
Background Trial: 2, reward: -149.0
Background Trial: 3, reward: -125.0
Background Trial: 4, reward: -195.0
Background Trial: 5, reward: -187.0
Background Trial: 6, reward: -138.0
Background Trial: 7, reward: -138.0
Background Trial: 8, reward: -112.0
Background Trial: 9, reward: -109.0
Background Trial: 10, reward: -138.0
